_id,ltable.id,rtable.id,table.ENTRYTYPE,ltable.author,ltable.title,ltable.year,rtable.ENTRYTYPE,rtable.author,rtable.title,rtable.year,label
1003797,2147,2233,article,"Patrick Flaherty and
Guri Giaever and
Jochen Kumm and
Michael I. Jordan and
Adam P. Arkin",A latent variable model for chemogenomic profiling,2005,article,"Flaherty, Patrick and Giaever, Guri and Kumm, Jochen and Jordan, Michael I and Arkin, Adam P",A latent variable model for chemogenomic profiling,2005.0,1
1005479,2150,1907,article,Michael I. Jordan,"On statistics, computation and scalability",2013,article,"Xia, LL and He, B and Hu, TS and Zhang, WD and Wang, YY and Xu, L and Li, N and Qiu, W and Yu, J and Fan, QS and others",[Isolation and characterization of rotavirus from bat].,2013.0,0
1006068,2151,2114,article,"David A. Cohn and
Zoubin Ghahramani and
Michael I. Jordan",Active Learning with Statistical Models,1996,article,"Cohn, David A and Ghahramani, Zoubin and Jordan, Michael I",Active learning with statistical models,1996.0,1
1007430,2153,2232,article,"Lawrence K. Saul and
Michael I. Jordan",Learning in Boltzmann Trees,1994,techreport,"Seeger, Matthias and Teh, Yee-Whye and Jordan, Michael",Semiparametric latent factor models,2005.0,0
1007494,2153,2298,article,"Lawrence K. Saul and
Michael I. Jordan",Learning in Boltzmann Trees,1994,article,"Saul, Lawrence and Jordan, Michael I",Learning in Boltzmann trees,1994.0,1
1007966,2154,2153,inproceedings,"Kurt T. Miller and
Thomas L. Griffiths and
Michael I. Jordan",Nonparametric Latent Feature Models for Link Prediction,2009,inproceedings,"Miller, Kurt and Jordan, Michael I and Griffiths, Thomas L",Nonparametric latent feature models for link prediction,2009.0,1
1011465,2160,2116,article,"Kobus Barnard and
Pinar Duygulu and
David A. Forsyth and
Nando de Freitas and
David M. Blei and
Michael I. Jordan",Matching Words and Pictures,2003,article,"Barnard, Kobus and Duygulu, Pinar and Forsyth, David and De Freitas, Nando and Blei, David M and Jordan, Michael I",Matching words and pictures,2003.0,1
1012474,2161,2358,incollection,"Lester W. Mackey and
David J. Weiss and
Michael I. Jordan",Mixed Membership Matrix Factorization,2014,inproceedings,"Mackey, Lester W and Weiss, David and Jordan, Michael I",Mixed membership matrix factorization,2010.0,0
1020395,2173,2265,inproceedings,"Peter Bod{\'{\i}}k and
Greg Friedman and
Lukas Biewald and
Helen Levine and
George Candea and
Kayur Patel and
Gilman Tolle and
Jonathan Hui and
Armando Fox and
Michael I. Jordan and
David A. Patterson","Combining Visualization and Statistical Analysis to Improve Operator
Confidence and Efficiency for Failure Detection and Localization",2005,inproceedings,"Bodik, Peter and Friedman, Greg and Biewald, Lukas and Levine, Helen and Candea, George and Patel, Kayur and Tolle, Gilman and Hui, Jon and Fox, Armando and Jordan, Michael and others",Combining visualization and statistical analysis to improve operator confidence and efficiency for failure detection and localization,2005.0,1
1025228,2179,1067,inproceedings,"Alice X. Zheng and
Andrew Y. Ng and
Michael I. Jordan",Stable Algorithms for Link Analysis,2001,inproceedings,"Bertino, Elisa and Catania, Barbara and Perlasca, Paolo",Introducing cooperation and actions in amalgamated knowledge bases,2001.0,0
1027448,2181,2340,inproceedings,"Daniel Crankshaw and
Peter Bailis and
Joseph E. Gonzalez and
Haoyuan Li and
Zhao Zhang and
Michael J. Franklin and
Ali Ghodsi and
Michael I. Jordan","The Missing Piece in Complex Analytics: Low Latency, Scalable Model
Management and Serving with Velox",2015,article,"Jordan, Michael I and Rumelhart, DE",Internal world models and supervised learning,2014.0,0
1028613,2183,2262,inproceedings,"Francis R. Bach and
Michael I. Jordan",Learning Graphical Models with Mercer Kernels,2002,inproceedings,"Bach, Francis R and Jordan, Michael I",Learning graphical models with Mercer kernels,2002.0,1
1030467,2186,2206,inproceedings,"Francis R. Bach and
Michael I. Jordan",Thin Junction Trees,2001,inproceedings,"Bach, Francis R and Jordan, Michael I",Thin junction trees,2001.0,1
